activity_id,reseller_id,activity_date,products_shared,catalog_views,orders_generated
393,16,2022-08-08 00:00:00,22,28,4
394,16,2022-09-07 00:00:00,11,52,0
395,16,2022-10-07 00:00:00,13,42,4
396,16,2022-11-06 00:00:00,24,54,5
397,16,2022-12-06 00:00:00,27,99,1
398,16,2023-01-05 00:00:00,7,97,2
399,16,2023-02-04 00:00:00,15,11,4
400,16,2023-03-06 00:00:00,9,84,2
401,16,2023-04-05 00:00:00,30,25,5
402,16,2023-05-05 00:00:00,0,88,3
403,16,2023-06-04 00:00:00,13,5,0
404,16,2023-07-04 00:00:00,17,75,5
405,16,2023-08-03 00:00:00,10,29,4
406,16,2023-09-02 00:00:00,8,100,1
407,16,2023-10-02 00:00:00,20,34,0
408,16,2023-11-01 00:00:00,16,20,4
409,16,2023-12-01 00:00:00,16,61,5
410,16,2023-12-31 00:00:00,16,43,1
411,16,2024-01-30 00:00:00,29,78,5
412,16,2024-02-29 00:00:00,5,75,5
413,16,2024-03-30 00:00:00,6,61,4
414,16,2024-04-29 00:00:00,19,43,2
415,16,2024-05-29 00:00:00,1,30,4
416,16,2024-06-28 00:00:00,22,86,5
417,17,2022-06-09 12:00:00,30,93,0
418,17,2022-07-09 12:00:00,22,97,5
419,17,2022-08-08 12:00:00,1,77,4
420,17,2022-09-07 12:00:00,13,14,5
421,17,2022-10-07 12:00:00,19,84,1
422,17,2022-11-06 12:00:00,27,13,4
423,17,2022-12-06 12:00:00,22,79,2
424,17,2023-01-05 12:00:00,16,19,4
425,17,2023-02-04 12:00:00,27,13,3
426,17,2023-03-06 12:00:00,3,70,1
427,17,2023-04-05 12:00:00,3,73,4
428,17,2023-05-05 12:00:00,18,53,4
429,17,2023-06-04 12:00:00,17,71,5
430,17,2023-07-04 12:00:00,4,16,4
431,17,2023-08-03 12:00:00,2,93,5
432,17,2023-09-02 12:00:00,22,88,2
433,17,2023-10-02 12:00:00,12,33,0
434,17,2023-11-01 12:00:00,25,33,4
435,17,2023-12-01 12:00:00,15,100,2
436,17,2023-12-31 12:00:00,12,14,1
437,17,2024-01-30 12:00:00,8,88,3
438,17,2024-02-29 12:00:00,5,45,2
439,17,2024-03-30 12:00:00,19,34,2
440,17,2024-04-29 12:00:00,16,97,5
441,17,2024-05-29 12:00:00,5,69,0
442,17,2024-06-28 12:00:00,13,96,5
443,18,2022-06-10 00:00:00,62,481,19
444,18,2022-07-10 00:00:00,142,164,9
445,18,2022-08-09 00:00:00,81,424,20
446,18,2022-09-08 00:00:00,111,176,18
447,18,2022-10-08 00:00:00,41,264,13
448,18,2022-11-07 00:00:00,45,271,7
449,18,2022-12-07 00:00:00,91,453,20
450,18,2023-01-06 00:00:00,108,71,2
451,18,2023-02-05 00:00:00,21,312,14
452,18,2023-03-07 00:00:00,43,100,6
453,18,2023-04-06 00:00:00,116,423,2
454,18,2023-05-06 00:00:00,126,445,12
455,18,2023-06-05 00:00:00,53,171,6
456,18,2023-07-05 00:00:00,147,265,4
457,18,2023-08-04 00:00:00,27,222,16
458,18,2023-09-03 00:00:00,100,498,9
459,18,2023-10-03 00:00:00,43,329,20
460,18,2023-11-02 00:00:00,78,278,7
461,18,2023-12-02 00:00:00,83,468,9
462,18,2024-01-01 00:00:00,120,485,16
463,18,2024-01-31 00:00:00,70,393,7
464,18,2024-03-01 00:00:00,81,61,6
465,18,2024-03-31 00:00:00,102,241,16
466,18,2024-04-30 00:00:00,136,127,7
467,18,2024-05-30 00:00:00,109,354,18
468,18,2024-06-29 00:00:00,67,348,9
469,19,2022-06-10 12:00:00,0,4,0
470,19,2022-07-10 12:00:00,0,8,0
471,19,2022-08-09 12:00:00,0,5,0
472,19,2022-09-08 12:00:00,0,3,0
473,19,2022-10-08 12:00:00,0,10,0
474,19,2022-11-07 12:00:00,0,9,0
475,19,2022-12-07 12:00:00,0,9,0
476,19,2023-01-06 12:00:00,0,6,0
477,19,2023-02-05 12:00:00,0,9,0
478,19,2023-03-07 12:00:00,0,5,0
479,19,2023-04-06 12:00:00,0,8,0
480,19,2023-05-06 12:00:00,0,3,0
481,19,2023-06-05 12:00:00,0,8,0
482,19,2023-07-05 12:00:00,0,2,0
483,19,2023-08-04 12:00:00,0,8,0
484,19,2023-09-03 12:00:00,0,7,0
485,19,2023-10-03 12:00:00,0,7,0
486,19,2023-11-02 12:00:00,0,9,0
487,19,2023-12-02 12:00:00,0,2,0
488,19,2024-01-01 12:00:00,0,3,0
489,19,2024-01-31 12:00:00,0,0,0
490,19,2024-03-01 12:00:00,0,4,0
491,19,2024-03-31 12:00:00,0,5,0
492,19,2024-04-30 12:00:00,0,1,0
493,19,2024-05-30 12:00:00,0,3,0
494,19,2024-06-29 12:00:00,0,10,0
495,20,2022-06-11 00:00:00,24,52,3
496,20,2022-07-11 00:00:00,22,15,3
497,20,2022-08-10 00:00:00,11,7,2
498,20,2022-09-09 00:00:00,16,37,3
499,20,2022-10-09 00:00:00,16,58,3
500,20,2022-11-08 00:00:00,14,9,5
501,20,2022-12-08 00:00:00,1,93,3
502,20,2023-01-07 00:00:00,6,47,1
503,20,2023-02-06 00:00:00,0,63,1
504,20,2023-03-08 00:00:00,2,60,2
505,20,2023-04-07 00:00:00,30,31,5
506,20,2023-05-07 00:00:00,15,35,2
507,20,2023-06-06 00:00:00,25,28,5
508,20,2023-07-06 00:00:00,8,61,4
509,20,2023-08-05 00:00:00,23,95,2
510,20,2023-09-04 00:00:00,22,8,0
511,20,2023-10-04 00:00:00,6,98,3
512,20,2023-11-03 00:00:00,16,45,4
513,20,2023-12-03 00:00:00,18,20,0
514,20,2024-01-02 00:00:00,25,59,2
515,20,2024-02-01 00:00:00,19,5,4
516,20,2024-03-02 00:00:00,26,25,4
517,20,2024-04-01 00:00:00,4,36,5
518,20,2024-05-01 00:00:00,21,15,4
519,20,2024-05-31 00:00:00,14,54,2
520,20,2024-06-30 00:00:00,24,86,3
521,21,2022-06-11 12:00:00,125,316,6
522,21,2022-07-11 12:00:00,100,124,6
523,21,2022-08-10 12:00:00,35,191,8
524,21,2022-09-09 12:00:00,32,381,13
525,21,2022-10-09 12:00:00,83,117,2
526,21,2022-11-08 12:00:00,54,424,5
527,21,2022-12-08 12:00:00,30,412,15
528,21,2023-01-07 12:00:00,109,265,7
529,21,2023-02-06 12:00:00,61,404,7
530,21,2023-03-08 12:00:00,122,351,7
531,21,2023-04-07 12:00:00,40,316,3
532,21,2023-05-07 12:00:00,125,111,4
533,21,2023-06-06 12:00:00,100,309,11
534,21,2023-07-06 12:00:00,129,233,4
535,21,2023-08-05 12:00:00,146,220,16
536,21,2023-09-04 12:00:00,95,72,2
537,21,2023-10-04 12:00:00,144,306,10
538,21,2023-11-03 12:00:00,91,127,13
539,21,2023-12-03 12:00:00,24,415,18
540,21,2024-01-02 12:00:00,23,60,11
541,21,2024-02-01 12:00:00,134,322,5
542,21,2024-03-02 12:00:00,120,442,17
543,21,2024-04-01 12:00:00,54,427,18
544,21,2024-05-01 12:00:00,79,96,3
545,21,2024-05-31 12:00:00,57,461,4
546,22,2022-06-12 00:00:00,0,7,0
547,22,2022-07-12 00:00:00,0,10,0
548,22,2022-08-11 00:00:00,0,3,0
549,22,2022-09-10 00:00:00,0,2,0
550,22,2022-10-10 00:00:00,0,1,0
551,22,2022-11-09 00:00:00,0,2,0
552,22,2022-12-09 00:00:00,0,9,0
553,22,2023-01-08 00:00:00,0,1,0
554,22,2023-02-07 00:00:00,0,7,0
555,22,2023-03-09 00:00:00,0,10,0
556,22,2023-04-08 00:00:00,0,5,0
557,22,2023-05-08 00:00:00,0,5,0
558,22,2023-06-07 00:00:00,0,9,0
559,22,2023-07-07 00:00:00,0,4,0
560,22,2023-08-06 00:00:00,0,5,0
561,22,2023-09-05 00:00:00,0,1,0
562,22,2023-10-05 00:00:00,0,2,0
563,22,2023-11-04 00:00:00,0,1,0
564,22,2023-12-04 00:00:00,0,4,0
565,22,2024-01-03 00:00:00,0,9,0
566,22,2024-02-02 00:00:00,0,2,0
567,22,2024-03-03 00:00:00,0,0,0
568,22,2024-04-02 00:00:00,0,5,0
569,22,2024-05-02 00:00:00,0,7,0
570,22,2024-06-01 00:00:00,0,6,0
571,23,2022-06-12 12:00:00,0,7,0
572,23,2022-07-12 12:00:00,0,5,0
573,23,2022-08-11 12:00:00,0,4,0
574,23,2022-09-10 12:00:00,0,10,0
575,23,2022-10-10 12:00:00,0,6,0
576,23,2022-11-09 12:00:00,0,5,0
577,23,2022-12-09 12:00:00,0,5,0
578,23,2023-01-08 12:00:00,0,9,0
579,23,2023-02-07 12:00:00,0,0,0
580,23,2023-03-09 12:00:00,0,9,0
581,23,2023-04-08 12:00:00,0,8,0
582,23,2023-05-08 12:00:00,0,0,0
583,23,2023-06-07 12:00:00,0,4,0
584,23,2023-07-07 12:00:00,0,5,0
585,23,2023-08-06 12:00:00,0,7,0
586,23,2023-09-05 12:00:00,0,4,0
587,23,2023-10-05 12:00:00,0,6,0
588,23,2023-11-04 12:00:00,0,7,0
589,23,2023-12-04 12:00:00,0,2,0
590,23,2024-01-03 12:00:00,0,6,0
591,23,2024-02-02 12:00:00,0,10,0
592,23,2024-03-03 12:00:00,0,5,0
593,23,2024-04-02 12:00:00,0,1,0
594,23,2024-05-02 12:00:00,0,4,0
595,23,2024-06-01 12:00:00,0,2,0
596,24,2022-06-13 00:00:00,0,4,0
597,24,2022-07-13 00:00:00,0,2,0
598,24,2022-08-12 00:00:00,0,3,0
599,24,2022-09-11 00:00:00,0,4,0
600,24,2022-10-11 00:00:00,0,9,0
601,24,2022-11-10 00:00:00,0,7,0
602,24,2022-12-10 00:00:00,0,6,0
603,24,2023-01-09 00:00:00,0,10,0
604,24,2023-02-08 00:00:00,0,8,0
605,24,2023-03-10 00:00:00,0,0,0
